image_name,Type_1,Type_2,Type_3,p1x,p1y,midx,midy,p2x,p2y,is_circle
Type_1/1473.jpg,1.000000,0.000000,0.000000,24.127907,51.199128,33.478682,47.856105,40.746124,45.348837,1.000000
Type_1/1468.jpg,1.000000,0.000000,0.000000,68.014706,58.501838,79.105392,55.330882,87.990196,52.849265,1.000000
Type_1/1464.jpg,1.000000,0.000000,0.000000,63.372093,111.155523,87.742248,110.683140,107.218992,105.341570,1.000000
Type_1/1456.jpg,1.000000,0.000000,0.000000,41.230620,78.452035,66.908915,62.827035,104.602713,59.992733,1.000000
Type_1/1440.jpg,1.000000,0.000000,0.000000,57.606589,44.549419,75.339147,45.712209,90.600775,41.388081,1.000000
Type_1/1437.jpg,1.000000,0.000000,0.000000,40.116279,53.015988,43.653101,53.161337,47.432171,53.161337,0.000000
Type_1/1430.jpg,1.000000,0.000000,0.000000,57.606589,68.132267,68.895349,68.132267,79.748062,69.949128,1.000000
Type_1/1427.jpg,1.000000,0.000000,0.000000,36.773256,45.857558,57.170543,45.348837,76.453488,36.228198,1.000000
Type_1/1422.jpg,1.000000,0.000000,0.000000,28.343023,88.735465,68.459302,79.251453,121.850775,96.220930,1.000000
Type_1/1414.jpg,1.000000,0.000000,0.000000,67.781008,60.501453,70.009690,60.501453,72.238372,60.501453,0.000000
Type_1/1393.jpg,1.000000,0.000000,0.000000,94.186047,59.811047,104.360465,62.645349,116.327519,63.481105,1.000000
Type_1/1390.jpg,1.000000,0.000000,0.000000,86.434109,117.478198,104.554264,114.171512,119.864341,113.517442,1.000000
Type_1/1389.jpg,1.000000,0.000000,0.000000,36.337209,71.438953,41.860465,70.130814,46.753876,67.151163,1.000000
Type_1/1384.jpg,1.000000,0.000000,0.000000,68.023256,49.854651,70.009690,49.672965,71.996124,49.527616,0.000000
Type_1/1370.jpg,1.000000,0.000000,0.000000,90.870098,95.036765,94.362745,95.542279,97.732843,96.047794,1.000000
Type_1/1346.jpg,1.000000,0.000000,0.000000,70.673077,54.014423,73.990385,54.158654,76.875000,54.519231,1.000000
Type_1/1344.jpg,1.000000,0.000000,0.000000,73.345588,95.726103,74.877451,95.863971,76.470588,95.542279,0.000000
Type_1/1339.jpg,1.000000,0.000000,0.000000,69.331395,76.453488,78.439922,78.088663,90.164729,80.087209,1.000000
Type_1/1336.jpg,1.000000,0.000000,0.000000,19.476744,76.598837,70.251938,115.152616,127.180233,103.015988,1.000000
Type_1/1326.jpg,1.000000,0.000000,0.000000,78.002451,56.663603,85.294118,56.158088,91.053922,55.652574,1.000000
Type_1/1324.jpg,1.000000,0.000000,0.000000,61.385659,65.806686,64.244186,65.479651,66.472868,64.825581,1.000000
Type_1/1320.jpg,1.000000,0.000000,0.000000,73.982558,49.672965,78.003876,50.363372,82.412791,51.526163,1.000000
Type_1/1314.jpg,1.000000,0.000000,0.000000,58.946078,77.757353,68.259804,73.759191,79.350490,75.459559,1.000000
Type_1/1308.jpg,1.000000,0.000000,0.000000,63.372093,90.079942,77.083333,93.713663,90.843023,92.732558,1.000000
Type_1/1289.jpg,1.000000,0.000000,0.000000,68.265504,118.313953,71.560078,118.968023,75.096899,118.968023,0.000000
Type_1/1288.jpg,1.000000,0.000000,0.000000,82.414216,77.619485,100.122549,73.299632,113.664216,75.275735,1.000000
Type_1/1285.jpg,1.000000,0.000000,0.000000,57.169118,59.650735,63.174020,59.145221,71.323529,57.674632,1.000000
Type_1/1281.jpg,1.000000,0.000000,0.000000,45.397287,102.361919,64.244186,94.549419,88.178295,92.405523,1.000000
Type_1/1279.jpg,1.000000,0.000000,0.000000,96.139706,58.501838,106.801471,55.836397,118.566176,52.343750,1.000000
Type_1/1274.jpg,1.000000,0.000000,0.000000,59.399225,35.065407,64.244186,35.574128,68.459302,33.248547,1.000000
Type_1/1273.jpg,1.000000,0.000000,0.000000,46.752451,76.792279,54.718137,76.102941,64.705882,75.919118,1.000000
Type_1/1251.jpg,1.000000,0.000000,0.000000,43.437500,71.484375,60.937500,64.921875,74.687500,61.171875,1.000000
Type_1/1245.jpg,1.000000,0.000000,0.000000,82.461240,44.840116,83.963178,47.856105,85.755814,50.835756,0.000000
Type_1/1239.jpg,1.000000,0.000000,0.000000,78.197674,58.502907,80.668605,59.665698,82.412791,60.501453,0.000000
Type_1/1230.jpg,1.000000,0.000000,0.000000,56.492248,84.738372,70.251938,94.040698,86.627907,107.340116,1.000000
Type_1/1229.jpg,1.000000,0.000000,0.000000,79.118217,72.601744,81.734496,72.783430,83.963178,72.783430,0.000000
Type_1/1226.jpg,1.000000,0.000000,0.000000,65.794574,55.850291,68.023256,55.668605,70.445736,55.159884,0.000000
Type_1/1223.jpg,1.000000,0.000000,0.000000,63.372093,76.780523,70.009690,77.943314,75.532946,80.087209,0.000000
Type_1/1220.jpg,1.000000,0.000000,0.000000,61.579457,118.968023,77.567829,121.293605,93.701550,119.149709,1.000000
Type_1/1204.jpg,1.000000,0.000000,0.000000,67.102713,70.457849,78.875969,65.806686,84.399225,72.601744,1.000000
Type_1/1202.jpg,1.000000,0.000000,0.000000,42.307692,62.812500,59.134615,60.829327,75.336538,62.632212,1.000000
Type_1/1199.jpg,1.000000,0.000000,0.000000,49.877451,67.968750,51.838235,67.784926,53.615196,67.784926,0.000000
