image_name,eosx,eosy,eos_size_normalized,orig_w,orig_h,eos_size,diag
Type_1/1134.jpg,1232.240164,1281.319898,0.031882,3096.000000,4128.000000,164.510836,5160.000000
Type_1/623.jpg,1301.492208,2681.957518,0.016962,3096.000000,4128.000000,87.525862,5160.000000
Type_1/1273.jpg,978.972641,1723.265654,0.034575,2448.000000,3264.000000,141.065214,4080.000000
Type_1/1389.jpg,819.648263,1903.853772,0.032194,3096.000000,4128.000000,166.120541,5160.000000
Type_1/879.jpg,1315.043340,1829.721725,0.059484,2448.000000,3264.000000,242.694607,4080.000000
Type_1/262.jpg,1585.955481,2153.395766,0.041004,3096.000000,4128.000000,211.581743,5160.000000
Type_1/908.jpg,1036.687124,1633.548151,0.028409,2448.000000,3264.000000,115.907748,4080.000000
Type_1/906.jpg,1124.579284,1650.413733,0.039281,2448.000000,3264.000000,160.267697,4080.000000
Type_1/558.jpg,1222.927907,1617.030317,0.050728,2448.000000,3264.000000,206.968592,4080.000000
Type_1/739.jpg,868.312313,1803.785002,0.030649,2448.000000,3264.000000,125.047808,4080.000000
Type_1/855.jpg,1247.630870,2355.566262,0.053396,2448.000000,3264.000000,217.855143,4080.000000
Type_1/463.jpg,1044.745418,2007.314348,0.010558,2448.000000,3264.000000,43.075517,4080.000000
Type_1/1226.jpg,1347.385234,1517.863499,0.008885,3096.000000,4128.000000,45.847092,5160.000000
Type_1/751.jpg,1100.701731,1280.213471,0.045372,2448.000000,3264.000000,185.116051,4080.000000
Type_1/1161.jpg,827.028692,1312.794755,0.036806,2448.000000,3264.000000,150.169685,4080.000000
Type_1/425.jpg,1997.193996,1161.163937,0.015027,3096.000000,4128.000000,77.541815,5160.000000
Type_1/1154.jpg,1311.341071,1515.158592,0.025978,2448.000000,3264.000000,105.991617,4080.000000
Type_1/208.jpg,1856.646150,2048.389959,0.033364,3096.000000,4128.000000,172.156850,5160.000000
Type_1/787.jpg,1181.392772,1225.927109,0.095656,2448.000000,3264.000000,390.278471,4080.000000
Type_1/180.jpg,1397.693369,1772.496189,0.061561,3096.000000,4128.000000,317.654203,5160.000000
Type_1/229.jpg,1280.491262,1338.916029,0.046207,3096.000000,4128.000000,238.426110,5160.000000
Type_1/230.jpg,1134.954577,1714.266719,0.031258,2448.000000,3264.000000,127.532665,4080.000000
Type_1/1014.jpg,1516.033497,1903.490251,0.047000,3096.000000,4128.000000,242.519031,5160.000000
Type_1/1056.jpg,1560.026167,1373.287831,0.054697,2448.000000,3264.000000,223.162391,4080.000000
Type_1/311.jpg,1309.090225,1736.780081,0.035921,3096.000000,4128.000000,185.351493,5160.000000
Type_1/1202.jpg,1203.962185,1751.796227,0.084945,3120.000000,4160.000000,441.712866,5200.000000
Type_1/379.jpg,1208.995912,2885.422060,0.030758,3096.000000,4128.000000,158.712615,5160.000000
Type_1/1440.jpg,1499.212819,1161.504359,0.076417,3096.000000,4128.000000,394.310176,5160.000000
Type_1/34.jpg,1504.147609,1513.047068,0.030800,3096.000000,4128.000000,158.928090,5160.000000
Type_1/880.jpg,1934.036809,1233.938822,0.059928,4128.000000,3096.000000,309.229804,5160.000000
Type_1/333.jpg,1114.972442,2150.454007,0.031481,3096.000000,4128.000000,162.443272,5160.000000
Type_1/401.jpg,1381.758581,2131.626903,0.038842,3120.000000,4160.000000,201.980270,5200.000000
Type_1/1430.jpg,1429.101849,1974.537874,0.058971,3096.000000,4128.000000,304.290552,5160.000000
Type_1/683.jpg,1375.023501,700.662502,0.047402,3096.000000,4128.000000,244.594509,5160.000000
Type_1/765.jpg,1491.239216,2538.519343,0.043821,3096.000000,4128.000000,226.117337,5160.000000
Type_1/930.jpg,1496.106375,2093.681054,0.035464,3096.000000,4128.000000,182.993796,5160.000000
Type_1/160.jpg,1389.456207,2260.180154,0.038430,3096.000000,4128.000000,198.299832,5160.000000
Type_1/513.jpg,1192.789937,2162.459825,0.024216,2448.000000,3264.000000,98.800341,4080.000000
