ID,y
1,79.2825
2,102.6
3,73.45
4,81.73400000000001
5,114.01
8,88.71
10,107.755
11,92.18
12,116.33250000000001
14,93.48
15,116.33250000000001
16,100.97
17,114.16
19,93.55
20,109.11
21,114.16
22,116.33250000000001
23,114.16
26,126.95
28,93.35499999999999
29,114.16
33,114.16
35,128.25
41,114.16
42,92.995
43,116.33250000000001
45,100.77
46,98.61
51,93.48333333333335
53,76.84
55,107.755
56,88.47
57,118.23
58,88.82
59,104.52
63,114.01
64,93.21
65,107.71
69,87.72
71,93.48
72,98.9
73,93.55
76,104.52
77,105.53357142857142
78,110.55
82,93.55
83,107.71
84,89.69
85,111.74
87,114.01
88,114.16
89,107.755
91,98.16
93,90.42
94,106.63333333333333
95,99.84
96,114.01
97,90.21
98,114.01
99,98.16
101,102.14
103,107.755
104,99.03
105,114.01
110,109.64
111,106.27
113,114.01
114,90.21
115,106.27
117,107.755
120,92.92
121,114.01
122,94.55
123,107.755
126,114.01
132,106.27
135,120.1
137,105.31
138,93.55
140,88.47
142,106.02
144,114.01
148,92.645
149,114.01
155,94.9
156,107.755
157,90.21
162,114.01
163,90.13
167,98.31
172,116.33250000000001
179,107.755
180,94.9
181,121.22
182,109.64
183,107.755
185,107.755
187,114.01
188,93.55
189,89.02
191,121.06
192,107.755
193,94.28833333333331
194,114.01
195,90.98
196,107.755
198,93.55
199,114.01
201,109.11
204,93.55
205,100.97
206,94.28833333333331
210,89.69
211,102.14
216,111.37333333333333
219,116.33250000000001
220,90.46
221,114.01
226,121.22
227,89.28
228,114.01
230,114.01
231,90.21
235,116.33250000000001
236,94.99666666666667
238,114.01
242,100.97
243,98.16
244,79.2825
245,114.01
247,114.01
248,90.39
249,91.43
250,114.01
251,94.99666666666667
253,116.33250000000001
254,98.97
256,89.05
257,94.62
258,107.755
259,98.16
262,76.59
266,90.39
267,114.01
272,99.51
273,107.755
275,94.9
276,107.755
279,109.64
280,107.71
283,90.39
285,114.01
288,107.755
289,87.97
290,109.11
291,93.48
292,114.01
293,114.01
296,94.62
297,114.01
298,110.55
299,93.55
304,90.85
305,80.44
306,89.69
307,121.22
311,121.22
313,121.22
314,87.49
316,87.25
324,94.28833333333331
327,89.2
329,91.97
330,114.01
337,101.13
338,108.19
339,106.66
340,93.21
343,90.23
345,116.33250000000001
346,93.97
347,114.01
349,106.27
350,90.39
352,114.01
353,86.81
354,76.59
357,89.05
358,107.755
362,107.755
364,128.78
365,98.9
366,93.48
367,114.01
368,93.48
370,82.2
373,88.82
377,90.98
378,114.01
382,104.52
384,114.01
390,98.16
392,114.01
393,106.27
395,108.19
396,98.57
399,76.59
406,121.22
408,121.22
409,121.06
410,84.15
412,107.755
413,90.39
419,102.6
420,114.01
421,88.71
430,100.37
434,89.69
436,93.21
437,88.47
438,94.62
439,114.01
440,87.79
443,107.755
446,93.55
448,94.99666666666667
452,94.41
453,118.23
457,101.875
458,89.69
459,106.27
460,118.23
462,101.875
464,105.53357142857142
465,116.33250000000001
467,110.95
471,114.01
472,84.15
473,101.915
475,93.55
480,90.42
488,121.22
490,121.22
491,100.97
492,73.45
493,89.05
497,94.55
498,114.01
499,128.25
500,98.61
501,89.69
502,114.01
506,76.84
510,114.01
511,90.99
512,91.97
516,92.27
518,91.57
519,114.01
521,94.62
522,114.01
526,107.755
529,92.38
532,114.01
533,94.99666666666667
536,107.755
537,100.1
539,93.55
540,100.97
541,93.55
543,89.02
546,114.01
547,96.48
548,76.59
551,89.05
552,118.23
556,105.53357142857142
557,92.38
558,114.01
559,93.55
560,101.875
562,100.97
566,94.11
570,114.01
571,88.47
572,107.71
573,93.55
575,116.33250000000001
576,121.22
577,87.71
579,84.8
580,114.01
581,106.27
589,121.22
591,100.85
593,93.55
594,97.07
595,89.69
598,89.05
602,114.01
604,114.01
606,106.27
608,93.48
609,102.14
610,93.48333333333335
616,114.01
617,93.55
618,100.85
620,102.25
622,107.755
623,90.39
624,106.27
626,114.01
628,114.01
629,98.31
630,114.01
637,91.56
638,119.30250000000001
643,89.2
645,90.42
646,128.78
648,90.86
652,94.11
653,88.47
654,114.01
656,114.01
657,107.78
659,87.72
660,101.875
663,90.39
664,114.01
666,118.23
668,114.01
669,94.99666666666667
671,93.55
675,92.27
677,94.99666666666667
678,114.01
679,109.11
682,96.385
685,118.23
687,94.11
688,90.39
693,114.01
696,89.2
698,112.86
701,89.2
704,118.23
705,116.33250000000001
709,107.755
710,92.44
711,118.23
712,90.42
714,114.01
715,90.39
716,121.22
717,121.06
720,116.33250000000001
721,121.06
724,103.03
725,93.55
726,114.01
728,114.01
731,97.99
734,101.875
738,91.62
745,114.01
746,91.97
751,79.2825
754,91.43
756,98.97
758,88.47
759,114.01
761,116.33250000000001
766,126.95
767,107.755
768,90.39
769,114.01
770,90.44
771,73.45
772,120.1
773,89.05
774,114.01
776,114.01
777,93.955
780,116.33250000000001
782,100.97
787,100.85
788,93.55
792,90.39
793,107.755
798,94.27
800,94.62
806,121.22
809,114.01
811,107.755
812,86.81
814,116.33250000000001
816,101.37
817,93.55
818,100.05
820,114.01
823,89.69
829,84.8
830,107.755
831,88.71
834,114.01
839,94.41
841,79.81
844,102.14
845,93.48333333333335
848,90.85
850,98.12
851,118.23
852,89.2
854,89.59
855,88.27
856,101.37
859,97.07
861,114.01
864,102.6
865,114.01
866,90.39
867,93.97
869,90.42
871,92.645
872,121.22
882,100.85
883,89.69
885,93.48
888,89.2
893,121.22
901,114.01
903,100.97
904,96.27
905,118.23
910,90.42
911,106.02
914,107.755
918,114.01
921,90.39
928,89.05
929,118.23
932,89.28
933,105.53357142857142
934,90.42
935,114.01
937,82.2
939,93.55
940,98.61
941,89.05
942,118.23
943,90.85499999999999
944,118.23
947,121.22
949,107.755
951,114.01
952,93.48
953,100.97
954,77.47
957,114.01
959,94.55
960,110.95
963,116.33250000000001
965,121.22
967,118.23
971,89.05
972,73.71
973,99.22
974,114.01
975,88.84
978,128.78
980,114.01
981,90.85499999999999
984,107.755
