image_name,Type_1,Type_2,Type_3
Type_1/623.jpg,0.743761,0.244517,0.011723
Type_1/879.jpg,0.400020,0.481065,0.118914
Type_1/1161.jpg,0.212421,0.559530,0.228048
Type_1/1014.jpg,0.727472,0.232182,0.040346
Type_1/1061.jpg,0.051024,0.447533,0.501444
Type_1/700.jpg,0.593630,0.401888,0.004482
Type_1/653.jpg,0.031676,0.302922,0.665402
Type_1/833.jpg,0.030446,0.203388,0.766166
Type_1/57.jpg,0.469406,0.510842,0.019752
Type_1/783.jpg,0.795729,0.182143,0.022128
Type_1/1131.jpg,0.673024,0.315384,0.011592
Type_1/1024.jpg,0.602039,0.342487,0.055474
Type_1/605.jpg,0.041751,0.214881,0.743368
Type_1/1199.jpg,0.287802,0.575912,0.136287
Type_1/484.jpg,0.346666,0.347245,0.306090
Type_1/416.jpg,0.344109,0.509179,0.146712
Type_1/1422.jpg,0.616050,0.368653,0.015297
Type_1/596.jpg,0.622601,0.331752,0.045647
Type_1/901.jpg,0.330730,0.458954,0.210316
Type_1/96.jpg,0.751730,0.201213,0.047057
Type_1/759.jpg,0.278576,0.633701,0.087724
Type_1/1179.jpg,0.491739,0.448443,0.059819
Type_1/1336.jpg,0.515745,0.392044,0.092211
Type_1/469.jpg,0.596579,0.352471,0.050951
Type_1/890.jpg,0.732190,0.259114,0.008696
Type_1/836.jpg,0.495808,0.479664,0.024528
Type_1/921.jpg,0.032176,0.092556,0.875267
Type_1/1281.jpg,0.573983,0.353850,0.072167
Type_1/334.jpg,0.587097,0.314944,0.097960
Type_1/1230.jpg,0.160395,0.699509,0.140096
Type_1/553.jpg,0.271964,0.667515,0.060521
Type_1/667.jpg,0.167819,0.743919,0.088263
Type_1/349.jpg,0.417266,0.380110,0.202624
Type_1/677.jpg,0.467171,0.404903,0.127926
Type_1/148.jpg,0.593413,0.369358,0.037229
Type_1/805.jpg,0.397269,0.278289,0.324442
Type_1/294.jpg,0.511829,0.440583,0.047588
Type_1/338.jpg,0.080076,0.196856,0.723067
Type_1/1456.jpg,0.834280,0.128007,0.037712
Type_1/1384.jpg,0.702541,0.289005,0.008454
Type_1/138.jpg,0.752394,0.239582,0.008024
Type_1/171.jpg,0.706763,0.241101,0.052136
Type_1/576.jpg,0.705975,0.277322,0.016703
Type_1/102.jpg,0.352780,0.457999,0.189221
Type_1/1390.jpg,0.452255,0.388581,0.159164
Type_1/917.jpg,0.394825,0.253307,0.351867
Type_1/41.jpg,0.582283,0.390164,0.027553
Type_1/710.jpg,0.514770,0.329037,0.156192
Type_1/641.jpg,0.454344,0.378644,0.167013
Type_1/454.jpg,0.637613,0.342385,0.020002
