image,LAG,NoF,BET,DOL,YFT,SHARK,OTHER,ALB
img_00005.jpg,3.4546774259069934e-05,1.8707112248161906e-10,3.8309785566070786e-08,0.0002340577048016712,4.925523739984783e-07,3.75208273339922e-08,9.493253116943379e-08,6.918433427927084e-06
img_00007.jpg,0.000195709231775254,7.383575575659052e-05,5.071650564791863e-12,1.5852370804925187e-10,2.1433736492326716e-06,4.130685482550689e-08,8.937038131762165e-08,4.320637344790157e-06
img_00009.jpg,1.3556054909713566e-06,5.29169597029977e-09,5.805387282009633e-09,1.550639477931881e-11,6.816560471634148e-08,5.2516803350499686e-08,9.498193247539644e-13,3.208678026567213e-05
img_00018.jpg,0.00017333542928099632,3.813676812569611e-05,1.473964857723331e-06,1.1536326581518264e-11,6.975200085435063e-05,2.80028757515538e-07,7.276424867086462e-07,4.0817125409375876e-05
img_00027.jpg,4.6874966130872053e-08,2.925639591699891e-11,3.40364333397368e-14,4.4346446349445847e-17,1.922263910547617e-11,1.2588361071857318e-13,5.344672018056228e-18,1.144608763326005e-08
img_00030.jpg,3.5197311376578e-07,3.303069151527893e-09,4.6376197326836177e-10,6.024110987823406e-09,3.39772476820599e-08,1.6266806568410175e-08,3.083530826508696e-12,3.2418618502561e-05
img_00040.jpg,0.0023592982906848192,3.413548554931367e-08,3.8457102086164596e-11,1.4317392613483518e-16,0.03331154212355614,5.9802642837780695e-09,2.2653194875488225e-09,4.868288669968024e-06
img_00046.jpg,1.7933486162746703e-07,1.3743441107383347e-10,1.2569016025188156e-14,1.4393972396376659e-13,1.3143123742120899e-11,2.4047750457611983e-08,3.124640684077825e-17,2.764656559239853e-11
img_00053.jpg,0.00028482303605414927,1.8114278965697395e-09,2.0322302174413664e-10,1.110926461933559e-07,4.6579874179997205e-08,8.940582461036684e-07,4.342868564766178e-10,2.7374095225241035e-05
img_00071.jpg,0.02307721972465515,1.8816168676494271e-06,1.909926822918351e-06,3.455405703789438e-06,2.7657039026962593e-05,0.002773849992081523,7.776817056992513e-08,0.0005439842934720218
img_00075.jpg,0.032806992530822754,1.77605397766456e-05,8.062869261138417e-10,1.2621774458931867e-10,8.281393820652738e-05,1.958628992326794e-08,4.1682997675707156e-07,0.0031670855823904276
img_00102.jpg,6.813018899265444e-06,8.445162791304028e-09,7.053999606654315e-10,5.477910833273647e-11,6.025126925157664e-11,1.2039750529879711e-08,5.307869486818884e-13,3.147828664396002e-08
img_00103.jpg,2.7826752557302825e-05,2.640811942455912e-07,3.6924895141510206e-08,2.0883237361601914e-09,3.778298923862167e-05,6.742777259205468e-06,1.959585560484811e-08,0.006579413078725338
img_00109.jpg,0.00018524957704357803,1.0387683687440585e-05,3.869802533973399e-10,8.599896836325449e-12,4.913818543172965e-07,2.378844101258437e-06,2.1573425337817476e-11,0.0003239228390157223
img_00119.jpg,0.00037614646134898067,1.710341912541935e-08,1.6059092464572149e-15,1.7558091092162442e-10,3.342603065448202e-07,1.7305845645410045e-09,8.411077146190313e-14,0.0032128801103681326
img_00120.jpg,8.077037637121975e-05,2.4325327530050345e-08,1.659805799747449e-11,4.2861453275477857e-10,1.860747889104175e-09,1.3498930684363586e-06,9.823435806661542e-15,1.6616796827406688e-09
img_00125.jpg,0.0012698982609435916,1.4095350309162313e-07,3.756712885660818e-06,2.4989304847622407e-08,6.056418300204314e-08,3.165767338941805e-05,1.2583392106080282e-07,0.010324517264962196
img_00128.jpg,4.503630771068856e-05,8.044849786337238e-10,3.134930162684846e-11,1.2206714528062435e-09,1.183270564864003e-10,5.378043343995387e-09,2.709305026708824e-16,2.728923504946579e-07
img_00129.jpg,0.012787461280822754,1.711282262678018e-15,1.4907941430389075e-19,1.303088153551615e-21,6.733695272487239e-07,3.945946902561559e-10,6.664762278440215e-17,4.966283828622409e-09
img_00133.jpg,4.467707453992276e-12,1.4868594433469808e-14,4.2967810892283317e-16,3.742794766275332e-21,4.741630618809722e-06,1.1594182645208173e-12,2.7394823952521062e-18,5.428689320297053e-08
img_00138.jpg,0.02910434827208519,1.8491555509037028e-11,7.834070848630748e-13,1.6793549439180432e-15,0.003488738089799881,1.486621242774433e-10,1.6464007046579354e-07,3.163205974487937e-06
img_00141.jpg,0.00022993030142970383,2.4993068947765096e-08,6.126186543323935e-15,1.881680367077365e-09,5.4324502229974314e-08,1.051470555069045e-08,2.516036424343726e-13,2.2279452593920723e-07
img_00152.jpg,8.568968041799963e-06,3.1803688216314185e-06,2.86789190795389e-06,5.1679653612080045e-11,1.5092517060111277e-05,8.007830842871044e-07,3.601553544285707e-07,0.9064729809761047
img_00161.jpg,1.4939251613554916e-08,1.4359189454265782e-15,9.064652750474918e-25,2.0501809295633895e-26,5.275840875285098e-10,2.598805502393442e-14,3.3672658349481245e-20,3.6372311829069304e-09
img_00164.jpg,2.0718654923257418e-05,3.8834518933938966e-10,1.7466518174565158e-16,3.13513592257314e-13,0.005830638576298952,1.1829009993746809e-09,9.997535568503912e-13,8.451305433254674e-08
img_00170.jpg,0.0011869078734889627,0.00016208799206651747,0.00021652589202858508,5.129212965471197e-08,0.0010695114033296704,0.0015556809958070517,5.975705903438211e-07,0.0004945056280121207
img_00171.jpg,0.00024631572887301445,2.204520299642354e-08,2.963065071082127e-10,5.631339945466607e-07,1.164437293255105e-07,3.0415378205361776e-05,4.871553160867848e-10,0.00023749531828798354
img_00172.jpg,4.864912261837162e-05,1.199746930069523e-05,4.075240145340331e-12,2.919737476965445e-14,1.3222751782393516e-08,8.83025386144709e-09,1.4480998865307182e-12,0.0002656078722793609
img_00175.jpg,0.000102409758255817,1.3520205788264406e-10,1.1821649209672533e-14,4.940921397066436e-14,6.716622920066584e-07,3.331195042033386e-11,2.6408737325320057e-14,9.445754585613031e-06
img_00180.jpg,0.11568877846002579,0.0005261675687506795,3.5985292470286367e-06,3.847907770193615e-09,6.178436251502717e-06,0.0001007975879474543,0.0011848283465951681,0.004884721711277962
img_00196.jpg,0.0006571289268322289,1.0529470628739546e-09,4.419644858422167e-11,9.18881637446134e-11,2.262783571627125e-10,6.916447858884567e-08,1.652484538094967e-10,9.000331857578203e-08
img_00212.jpg,0.0010331617668271065,4.016013917862438e-06,3.026973116604381e-11,1.4987999588987137e-19,1.6942454749369062e-05,2.065939641582304e-09,1.684401926206787e-14,1.0102278480417226e-07
img_00223.jpg,0.000507672899402678,4.250700385455275e-06,1.9772615544866312e-08,4.333133678258161e-12,1.2394002624205314e-05,1.8231729370654648e-07,2.761678103979648e-07,0.0001743985922075808
img_00230.jpg,0.0862087532877922,4.6334161396544005e-08,1.5238319051036342e-08,7.562840631525347e-11,0.005081772338598967,2.1661577420672984e-07,4.2548675693865334e-10,4.678723416873254e-05
img_00232.jpg,5.689852332579903e-05,7.510927702014669e-08,1.2216311295887294e-09,2.3085121370058914e-07,4.139388554147416e-10,1.2175932170066517e-05,4.859310523408489e-11,3.4402901292196475e-06
img_00244.jpg,8.316397952512489e-07,3.883744739141548e-06,2.403870288589238e-13,4.924284768686366e-19,0.0015311241149902344,1.4317566229826717e-11,7.53668655262274e-12,1.122315734392032e-05
img_00272.jpg,0.00330466590821743,8.129374691634439e-06,1.6567710536818936e-09,8.390600436669615e-10,1.1248403097852133e-06,9.738103301515366e-08,8.969532791525126e-05,4.0942653868114576e-05
img_00280.jpg,0.0249587744474411,8.265780282457058e-10,1.259762710814627e-10,1.2912387305219486e-11,2.5700130208861083e-05,3.5038688395161444e-08,1.2969894491732248e-08,3.3013293432304636e-05
img_00282.jpg,0.0017583384178578854,8.420872472925112e-05,1.1132341626307607e-07,5.159052351988436e-11,1.5802863345015794e-05,7.835255019017495e-06,8.871634804563655e-08,0.0001299293217016384
img_00285.jpg,0.022738754749298096,2.2319900381262414e-05,2.7319147832827184e-08,2.907415801167712e-11,9.243396561942063e-06,6.357633537845686e-06,6.116386508381311e-09,0.01150539331138134
img_00289.jpg,0.004874106030911207,1.1208078021240908e-08,1.4204716569654607e-10,5.113210202467577e-13,4.2408872104715556e-05,0.00017372725415043533,6.676749819689576e-09,1.2818719369533937e-05
img_00292.jpg,0.01616932637989521,2.2535571133630583e-06,1.6889711851320044e-09,2.074574262378448e-10,0.0009783486602827907,1.9468707250780426e-06,1.274552232644055e-07,6.706551357638091e-05
img_00302.jpg,0.5327535271644592,4.848360601883428e-10,1.1594003017048631e-16,4.272591831712042e-23,0.0005398839130066335,3.3777181052130345e-09,4.143459920143627e-16,7.944967364892364e-06
img_00311.jpg,2.810724708979251e-06,1.0749717956060056e-11,7.580734651124743e-11,1.9817734937532805e-06,1.2246498259926852e-09,5.918372458779686e-10,8.071553452282387e-07,6.002102963975631e-06
img_00320.jpg,0.012242849916219711,3.617174570536008e-06,6.759425019708942e-08,1.9486055435891103e-08,0.0001092696184059605,0.024697527289390564,1.6478019460919313e-05,2.257605501654325e-06
