image_name, eosx, eosy, orig_w, orig_h, eos_size_original, eos_size_cropped, eos_size_ratio
Type_1/1134.jpg,1550.201256,2062.119696,3096.000000,4128.000000,5.989695,0.289598,20.682768
Type_1/1273.jpg,1226.506752,1630.172160,2448.000000,3264.000000,5.647541,0.333320,16.943306
Type_1/1389.jpg,1550.775564,2060.596464,3096.000000,4128.000000,7.494567,0.339605,22.068504
Type_1/262.jpg,1549.800324,2061.501184,3096.000000,4128.000000,4.345240,0.168207,25.832736
Type_1/908.jpg,1226.427192,1628.843712,2448.000000,3264.000000,5.012573,0.305761,16.393761
Type_1/906.jpg,1226.557344,1629.664064,2448.000000,3264.000000,4.568057,0.279641,16.335449
Type_1/558.jpg,1226.407200,1630.406080,2448.000000,3264.000000,6.153904,0.316669,19.433246
Type_1/739.jpg,1218.762912,1631.722016,2448.000000,3264.000000,14.672623,0.893813,16.415757
Type_1/855.jpg,1226.926992,1629.609664,2448.000000,3264.000000,3.306353,0.182179,18.148963
Type_1/463.jpg,1225.913520,1628.874720,2448.000000,3264.000000,5.526119,0.303337,18.217735
Type_1/1226.jpg,1552.901484,2060.864096,3096.000000,4128.000000,8.452535,0.405211,20.859587
Type_1/751.jpg,1226.023272,1629.303936,2448.000000,3264.000000,3.299801,0.198597,16.615550
Type_1/425.jpg,1550.502600,2059.633952,3096.000000,4128.000000,6.392777,0.284786,22.447652
Type_1/1154.jpg,1226.695248,1629.548192,2448.000000,3264.000000,7.058054,0.428260,16.480752
Type_1/1120.jpg,1555.675500,2059.245920,3096.000000,4128.000000,24.527233,1.143974,21.440376
Type_1/208.jpg,1548.726528,2062.683168,3096.000000,4128.000000,4.534680,0.202652,22.376645
Type_1/787.jpg,1226.574072,1629.829440,2448.000000,3264.000000,3.601233,0.216031,16.669962
Type_1/180.jpg,1540.374552,2060.809056,3096.000000,4128.000000,18.841916,0.741611,25.406752
Type_1/229.jpg,1545.337956,2058.231808,3096.000000,4128.000000,56.438386,2.081328,27.116525
Type_1/230.jpg,1227.160776,1628.925856,2448.000000,3264.000000,11.489932,0.667156,17.222254
Type_1/1056.jpg,1227.097128,1631.872160,2448.000000,3264.000000,11.867708,0.662259,17.920042
