#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1480.jpg,6979595,{},4,0,"{""name"":""point"",""cx"":1349,""cy"":1989}",{}
1480.jpg,6979595,{},4,1,"{""name"":""point"",""cx"":1463,""cy"":1944}",{}
1480.jpg,6979595,{},4,2,"{""name"":""point"",""cx"":1550,""cy"":1944}",{}
1480.jpg,6979595,{},4,3,"{""name"":""rect"",""x"":448,""y"":869,""width"":2387,""height"":2625}","{""Cervix Shape"":""curve""}"
1478.jpg,3318717,{},4,0,"{""name"":""point"",""cx"":1081,""cy"":1110}",{}
1478.jpg,3318717,{},4,1,"{""name"":""point"",""cx"":1255,""cy"":1078}",{}
1478.jpg,3318717,{},4,2,"{""name"":""point"",""cx"":1367,""cy"":1005}",{}
1478.jpg,3318717,{},4,3,"{""name"":""rect"",""x"":600,""y"":662,""width"":1190,""height"":1139}","{""Cervix Shape"":""curve""}"
1476.jpg,2504086,{},4,0,"{""name"":""point"",""cx"":1266,""cy"":1211}",{}
1476.jpg,2504086,{},4,1,"{""name"":""point"",""cx"":1287,""cy"":1258}",{}
1476.jpg,2504086,{},4,2,"{""name"":""point"",""cx"":1320,""cy"":1276}",{}
1476.jpg,2504086,{},4,3,"{""name"":""rect"",""x"":929,""y"":893,""width"":640,""height"":1114}","{""Cervix Shape"":""curve""}"
1474.jpg,6850143,{},4,0,"{""name"":""point"",""cx"":1239,""cy"":2108}",{}
1474.jpg,6850143,{},4,1,"{""name"":""point"",""cx"":1468,""cy"":2122}",{}
1474.jpg,6850143,{},4,2,"{""name"":""point"",""cx"":1669,""cy"":2012}",{}
1474.jpg,6850143,{},4,3,"{""name"":""rect"",""x"":864,""y"":1175,""width"":1070,""height"":1468}","{""Cervix Shape"":""curve""}"
1472.jpg,5935208,{},4,0,"{""name"":""point"",""cx"":1043,""cy"":2245}",{}
1472.jpg,5935208,{},4,1,"{""name"":""point"",""cx"":1102,""cy"":2218}",{}
1472.jpg,5935208,{},4,2,"{""name"":""point"",""cx"":1189,""cy"":2200}",{}
1472.jpg,5935208,{},4,3,"{""name"":""rect"",""x"":540,""y"":1578,""width"":1066,""height"":1194}","{""Cervix Shape"":""curve""}"
1471.jpg,3859888,{},4,0,"{""name"":""point"",""cx"":839,""cy"":1233}",{}
1471.jpg,3859888,{},4,1,"{""name"":""point"",""cx"":922,""cy"":1208}",{}
1471.jpg,3859888,{},4,2,"{""name"":""point"",""cx"":1005,""cy"":1200}",{}
1471.jpg,3859888,{},4,3,"{""name"":""rect"",""x"":546,""y"":944,""width"":908,""height"":1085}","{""Cervix Shape"":""curve""}"
1467.jpg,3047870,{},4,0,"{""name"":""point"",""cx"":1316,""cy"":1750}",{}
